epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.4242686331272125,0.7704766988754272,1.456976294517517,0.4774946868419647,0.8043650984764099,1.3602557182312012
1,0.49037718772888184,0.813468873500824,1.3321746587753296,0.48949044942855835,0.8100282549858093,1.3427293300628662
2,0.504800021648407,0.8205873370170593,1.3090349435806274,0.48779192566871643,0.8103140592575073,1.3424749374389648
3,0.510532796382904,0.826677143573761,1.2888940572738647,0.49023354053497314,0.8114468455314636,1.338921070098877
4,0.5160835385322571,0.8309973478317261,1.2751435041427612,0.4918259084224701,0.8115249276161194,1.341356635093689
5,0.5216342806816101,0.8341280221939087,1.2643542289733887,0.48630574345588684,0.8100605010986328,1.343258261680603
6,0.5245461463928223,0.8380764126777649,1.2509164810180664,0.4901273846626282,0.8100627660751343,1.3449829816818237
7,0.5326902866363525,0.8414856195449829,1.238693356513977,0.48492568731307983,0.8082154393196106,1.3489620685577393
8,0.5373311042785645,0.8445836305618286,1.2273505926132202,0.4874734580516815,0.808498740196228,1.3524407148361206
9,0.5422448515892029,0.8487446904182434,1.2128537893295288,0.4851379990577698,0.8067871928215027,1.3595216274261475
