epoch,accuracy,loss,val_accuracy,val_loss
0,0.4448792040348053,1.4437847137451172,0.518683671951294,1.2982409000396729
1,0.5405159592628479,1.2390291690826416,0.5348195433616638,1.2462787628173828
2,0.5802811980247498,1.1442811489105225,0.5412951111793518,1.2368637323379517
3,0.6053505539894104,1.0761064291000366,0.5361995697021484,1.2495183944702148
4,0.6278720498085022,1.0236188173294067,0.5334395170211792,1.2584387063980103
5,0.6434323787689209,0.9699645042419434,0.5321655869483948,1.2927671670913696
6,0.6659083962440491,0.916899561882019,0.5290870666503906,1.321899652481079
7,0.6852449774742126,0.8710571527481079,0.5233545899391174,1.3455770015716553
8,0.7040811777114868,0.8184182643890381,0.5187898278236389,1.4065319299697876
9,0.720414936542511,0.7750566005706787,0.5166666507720947,1.4366596937179565
