epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.44992947578430176,0.78702712059021,1.4098248481750488,0.5058386325836182,0.823707103729248,1.2979990243911743
1,0.5337367653846741,0.8415811657905579,1.2366036176681519,0.518683671951294,0.8300803899765015,1.2750954627990723
2,0.5464307069778442,0.8513662219047546,1.20083487033844,0.5131635069847107,0.8305795788764954,1.2798666954040527
3,0.5539378523826599,0.8581259250640869,1.175755500793457,0.51571124792099,0.8316936492919922,1.2749186754226685
4,0.5640838742256165,0.864441454410553,1.1514910459518433,0.5200636982917786,0.8309958577156067,1.2779620885849
5,0.580463171005249,0.8711516857147217,1.1239920854568481,0.5161358714103699,0.8299614191055298,1.286313772201538
6,0.591974139213562,0.8779129981994629,1.0960618257522583,0.5143312215805054,0.8278635144233704,1.2990914583206177
7,0.6030756831169128,0.8851490616798401,1.0651241540908813,0.506475567817688,0.8250963091850281,1.3138678073883057
8,0.6187724471092224,0.8919296860694885,1.0347607135772705,0.5073248147964478,0.8236920833587646,1.339756727218628
9,0.6337867975234985,0.8989485502243042,1.001505732536316,0.4956475496292114,0.8168764114379883,1.3605457544326782
10,0.6467992067337036,0.9057250618934631,0.9686444401741028,0.4957537055015564,0.8170173168182373,1.3796089887619019
11,0.6608126163482666,0.9124770164489746,0.93421471118927,0.4871549904346466,0.8124995231628418,1.4094544649124146
12,0.6786478161811829,0.9196474552154541,0.8959637880325317,0.4825902283191681,0.8063833713531494,1.453411340713501
13,0.693070650100708,0.9258087873458862,0.8613764047622681,0.4736730456352234,0.8029624819755554,1.493685007095337
14,0.7084944844245911,0.932421088218689,0.8222627639770508,0.4694267511367798,0.7971506714820862,1.5420411825180054
15,0.7202784419059753,0.9378123879432678,0.7885391712188721,0.46528661251068115,0.7932990193367004,1.5972181558609009
16,0.7330633997917175,0.9432443976402283,0.7535832524299622,0.4711252748966217,0.7920116782188416,1.6441806554794312
17,0.7491241693496704,0.9482294321060181,0.7189509868621826,0.45955413579940796,0.7853220701217651,1.715904951095581
18,0.7642750144004822,0.9528548717498779,0.6850669980049133,0.4522292912006378,0.7775132656097412,1.7719098329544067
19,0.7730560898780823,0.9571033120155334,0.6537647843360901,0.4533970355987549,0.7759091258049011,1.8385707139968872
20,0.7849765419960022,0.960938572883606,0.6231593489646912,0.44713374972343445,0.7706810832023621,1.919325351715088
21,0.7965785264968872,0.9645227789878845,0.5938877463340759,0.44787687063217163,0.7692750096321106,1.983447551727295
22,0.8115018606185913,0.9681687355041504,0.5626950860023499,0.44140127301216125,0.7612151503562927,2.0638747215270996
23,0.8176895976066589,0.9708157181739807,0.5367034077644348,0.44140127301216125,0.7624714970588684,2.1418988704681396
24,0.828973114490509,0.9735376238822937,0.5106884837150574,0.43152865767478943,0.7536413669586182,2.2351748943328857
