epoch,accuracy,loss,val_accuracy,val_loss
0,0.4668547213077545,1.3637421131134033,0.5290870666503906,1.2418276071548462
1,0.5667682886123657,1.1491751670837402,0.5461783409118652,1.2196093797683716
2,0.587833821773529,1.0968345403671265,0.5454352498054504,1.2288638353347778
3,0.6007552742958069,1.0574246644973755,0.5430997610092163,1.2338414192199707
4,0.6139496564865112,1.01701819896698,0.537791907787323,1.2548935413360596
5,0.6348332762718201,0.9725040197372437,0.5365180373191833,1.2803899049758911
6,0.6510305404663086,0.9236889481544495,0.5288747549057007,1.3025685548782349
7,0.6781473159790039,0.8676771521568298,0.524734616279602,1.3586333990097046
8,0.7056280970573425,0.8079833388328552,0.5162420272827148,1.4105491638183594
9,0.7318349480628967,0.7433257102966309,0.5111464858055115,1.4589016437530518
10,0.7628190517425537,0.6712234616279602,0.5005307793617249,1.5610028505325317
11,0.7954866290092468,0.5962507724761963,0.49479830265045166,1.6828371286392212
12,0.8223304152488708,0.5210986733436584,0.49267515540122986,1.7993215322494507
13,0.8486282229423523,0.4505767524242401,0.49097663164138794,1.9689137935638428
14,0.8767459988594055,0.38225257396698,0.48099789023399353,2.1327245235443115
15,0.8984940052032471,0.32219716906547546,0.47876858711242676,2.351203680038452
16,0.9160107374191284,0.27032938599586487,0.4732484221458435,2.5171005725860596
17,0.9350289106369019,0.22312213480472565,0.46953290700912476,2.7368052005767822
18,0.9449929594993591,0.1904115527868271,0.4697452187538147,2.931941270828247
19,0.9534555673599243,0.16120176017284393,0.4714437425136566,3.1745481491088867
20,0.9627371430397034,0.13548386096954346,0.4619957506656647,3.3705379962921143
21,0.9662405252456665,0.11882761865854263,0.46348196268081665,3.566549777984619
22,0.9714727401733398,0.10268626362085342,0.467303603887558,3.766984224319458
23,0.972564697265625,0.0943576991558075,0.4664543569087982,3.961404323577881
24,0.9767505526542664,0.08320777863264084,0.459341824054718,4.141874313354492
25,0.9788889288902283,0.0737282931804657,0.4565817415714264,4.344146728515625
26,0.9816188216209412,0.06661850214004517,0.4643312096595764,4.50228214263916
27,0.9817098379135132,0.0643787756562233,0.4615711271762848,4.625779628753662
28,0.9835752248764038,0.057811543345451355,0.45743098855018616,4.762484073638916
29,0.9852131605148315,0.053865402936935425,0.45679405331611633,4.914950847625732
30,0.9830292463302612,0.056766316294670105,0.4497876763343811,5.0180463790893555
31,0.9845306873321533,0.05255090072751045,0.4570063650608063,5.189682960510254
32,0.9845306873321533,0.052366264164447784,0.4604033827781677,5.284367561340332
33,0.9859411120414734,0.04821067675948143,0.45774945616722107,5.369650363922119
34,0.9854406714439392,0.050145845860242844,0.4647558331489563,5.476715087890625
35,0.9875790476799011,0.04087549448013306,0.45594480633735657,5.5351457595825195
36,0.9869420528411865,0.04553953930735588,0.45594480633735657,5.619213104248047
37,0.9874425530433655,0.04130520671606064,0.45212313532829285,5.692694187164307
38,0.9892169833183289,0.0393439382314682,0.4504246413707733,5.731774806976318
39,0.9900814294815063,0.03500348702073097,0.4611465036869049,5.858940601348877
40,0.9882160425186157,0.03981897607445717,0.45679405331611633,5.903680801391602
41,0.9874880313873291,0.03984889015555382,0.4543524384498596,5.979126930236816
42,0.9891259670257568,0.03808975964784622,0.4569002091884613,6.103960990905762
43,0.9884434938430786,0.037123411893844604,0.4550955295562744,6.157146453857422
44,0.9890804886817932,0.035107482224702835,0.4544585943222046,6.161462783813477
45,0.9906728863716125,0.033589333295822144,0.4611465036869049,6.161996364593506
46,0.9905819296836853,0.032729510217905045,0.4508492648601532,6.23756742477417
47,0.9917193651199341,0.029147837311029434,0.4548832178115845,6.324129581451416
48,0.990399956703186,0.0315716527402401,0.4557324945926666,6.3354716300964355
49,0.9894444942474365,0.03488084673881531,0.45031848549842834,6.414070129394531
